cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1561469899,-0.009339264615160048,0.017823102547258128,-0.04427254560778598,0.025594016377465882
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1433634663,0.0076317973654315046,0.015770635521435327,-0.023278648256581738,0.03854224298744475
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,696936141,0.040150162562912546,0.01455041297644502,0.011631353129080306,0.0686689719967448
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1042729357,0.034146583752875354,0.015434298191879508,0.0038953592967915195,0.06439780820895918
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,374482716,0.019073345660361514,0.014934819420438781,-0.010198900403698495,0.04834559172442152
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1978687093,-0.0012872961861660193,0.016682763837336936,-0.033985513307346414,0.03141092093501437
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1179385536,0.027201187312050713,0.01411873290050587,-0.00047152917294079194,0.05487390379704222
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1525556073,0.028260542545277705,0.015741897570079193,-0.0025935766920775136,0.05911466178263292
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,572656088,0.0045435582248277775,0.01485111148393263,-0.02456462028368018,0.033651736733335734
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1204438628,-0.0014037417209690002,0.013926210896348904,-0.02869911507781285,0.02589163163587485
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1812523835,0.01988418964454403,0.01643424819558846,-0.012326936818809354,0.052095316107897416
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,413429580,-0.0033790253199778263,0.015433046904155662,-0.03362779725212292,0.02686974661216727
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,139402182,0.027445789855414963,0.01688081353321888,-0.00564060466969404,0.06053218438052396
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,43489554,0.0013366250566979895,0.014692205939753846,-0.027460098585219545,0.030133348698615527
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,898508933,-0.01129234308551758,0.016617437623325154,-0.04386252082723489,0.021277834656199722
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1247315324,0.0025828298244290437,0.014540078393637274,-0.02591572382710001,0.0310813834759581
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2100054983,0.007347704671884923,0.015121074800189855,-0.022289601936487193,0.03698501128025704
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1767605237,-0.007974517040969048,0.01718663120061174,-0.04166031419416806,0.025711280112229964
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1132719126,0.02389981464327922,0.016335551611241634,-0.00811786651475438,0.05591749580131282
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,951564548,0.02710573433210317,0.014863549972309788,-0.0020268236136240132,0.05623829227783035
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,216714387,0.021554413726449066,0.015260248876296656,-0.008355674071092379,0.051464501523990513
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,525240089,0.02553498176727247,0.015613205134924788,-0.005066900297180113,0.05613686383172505
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,996927476,0.011158201042045832,0.014743518315703738,-0.017739094856733494,0.04005549694082516
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1825358054,0.011829046285227459,0.014913427279009118,-0.01740127118163041,0.041059363752085326
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1763542873,0.028491161496107396,0.01537285736990338,-0.0016396389489032291,0.05862196194111802
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1761825144,-0.0020517922897643074,0.017596725378419616,-0.036541374031466754,0.03243778945193814
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1041970505,0.04005471574932663,0.015021556598385848,0.01061246481649037,0.0694969666821629
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,519644665,0.016035358656394424,0.01647935891423254,-0.016264184815501355,0.048334902128290204
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2071004005,0.011398478430342692,0.014392998263901486,-0.01681179816690422,0.03960875502758961
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1934522859,0.007252118507359916,0.019323752597342925,-0.03062243658343222,0.04512667359815205
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,82777113,0.024814864786268112,0.015522823268661374,-0.0056098688203081795,0.055239598392844404
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1285852270,-0.0075653540811073455,0.015624835990584321,-0.038190032622652616,0.023059324460437923
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1210613118,0.01919939751558151,0.016212233778748315,-0.012576580690765189,0.050975375721928215
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,316731601,0.00014852291408153198,0.01383023356419856,-0.026958734871747648,0.02725578069991071
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2059729289,-0.02153546193151951,0.01563269073385032,-0.05217553576986614,0.009104611906827115
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1862085422,-0.0007118304761108804,0.0158303933019604,-0.031739401347953264,0.0303157403957315
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1155487271,-0.025004832915440454,0.014168784310531394,-0.052775650164081984,0.002765984333201077
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2003593997,0.0408497065074123,0.016457880204156998,0.008592261307264586,0.07310715170756002
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,726799462,0.0007037139956834654,0.01663211817368479,-0.03189523762473872,0.033302665616105655
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,201996195,0.024033126445548628,0.01430440456266508,-0.0040035064972749265,0.05206975938837218
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1708483631,-0.002497182164591882,0.015485906855158866,-0.03284955960070326,0.027855195271519494
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,346089190,0.011189919744064507,0.01482209283764503,-0.01786138221771975,0.04024122170584876
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1121566545,-0.00549788641941706,0.016056272898913253,-0.03696818130128703,0.025972408462452915
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1401562685,0.04680154674658826,0.015294070707691804,0.01682516815951233,0.0767779253336642
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,625797387,0.0023375732211182746,0.015458350635724972,-0.027960794024902667,0.03263594046713922
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1582668469,0.005611299254284875,0.016388321349967417,-0.02650981059165126,0.037732409100221014
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,325967548,0.010996453477896477,0.014921461071316987,-0.018249610221884816,0.040242517177677774
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2141505593,0.04001348243431026,0.01453757995833365,0.011519825715976303,0.06850713915264421
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1750201838,0.0382431250558452,0.013497511065772936,0.011788003366930245,0.06469824674476016
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,858638658,0.011144212456872764,0.016448176946120174,-0.021094214357522775,0.0433826392712683
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,50020490,-0.00784920668339334,0.01499712668168098,-0.03724357497948806,0.021545161612701383
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,853075829,-0.00835605517525251,0.014614767779126656,-0.03700100002234075,0.020288889671835737
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,131252484,0.03522821829139977,0.015745902892708843,0.004366248621690438,0.0660901879611091
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,16365010,0.020980899246746877,0.015173231517033002,-0.008758634526637808,0.05072043302013156
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1044071870,-0.00305441208101623,0.01445590135935476,-0.031387978745351555,0.025279154583319096
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1861797238,0.012551320636264685,0.014573244066168202,-0.01601223773342499,0.041114879005954355
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,97740848,0.017396480510604228,0.01572899888904042,-0.013432357311914993,0.04822531833312345
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1323733404,0.04196984569208246,0.017358556453165655,0.007947075043877774,0.07599261634028714
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1866960761,0.010049232081360033,0.01664762959091418,-0.022580121916831758,0.04267858607955183
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1823059628,0.008414909651134497,0.014108155694343934,-0.019237075509779614,0.036066894812048604
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1856796253,0.025305362869291536,0.01590789719505428,-0.0058741156330148515,0.05648484137159793
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,701991120,0.029614655100883104,0.014022634703004154,0.0021302910829949645,0.057099019118771244
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1773752049,-0.02956816506794726,0.01422120877505163,-0.057441734267048454,-0.0016945958688460647
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1626174432,-0.0032423412419641203,0.01810904441945394,-0.038736068304093846,0.03225138582016561
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1469217671,0.0001459430363754147,0.016288754393657623,-0.031780015575193526,0.03207190164794435
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,440987972,0.026695466909445728,0.01598387441303697,-0.004632926940106738,0.058023860758998194
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1732371835,0.02064005889393135,0.014022085404439845,-0.006843228498770747,0.048123346286633444
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,95413088,-0.006536707148770429,0.015048333469493315,-0.03603144074897732,0.022958026451436468
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1179547994,0.011781246962930848,0.016718519568553046,-0.02098705139143312,0.04454954531729482
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1994479278,-0.013628217204018796,0.01605523512166032,-0.04509647804247302,0.017840043634435424
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,948556736,-0.00635199255208443,0.014622400778762784,-0.03501189807845949,0.022307912974290627
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,476690686,-0.017721341812578176,0.014862482403481786,-0.04685180732340248,0.011409123698246124
