cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML|N=500|scm0,DML,500,scm0,0.0,132741583,0.026595969970719256,0.015147302541560543,-0.003092743010739408,0.05628468295217792
DML|N=500|scm0,DML,500,scm0,0.0,644878861,0.013934532024345405,0.014775233740429357,-0.015024926106896134,0.042893990155586946
DML|N=500|scm0,DML,500,scm0,0.0,1837161314,0.01351412809941661,0.013490061062903604,-0.012926391583874451,0.03995464778270767
DML|N=500|scm0,DML,500,scm0,0.0,1298543532,0.015963139885539848,0.014431716756660653,-0.012323024957515031,0.04424930472859473
DML|N=500|scm0,DML,500,scm0,0.0,1852755508,-0.0021352223741514693,0.014198945512110877,-0.02996515557788879,0.02569471082958585
DML|N=500|scm0,DML,500,scm0,0.0,431240368,0.01564496158713758,0.014974635421111906,-0.013705323838241756,0.04499524701251692
DML|N=500|scm0,DML,500,scm0,0.0,1286552680,0.033243846021299,0.014980678705119722,0.0038817157592643432,0.06260597628333366
DML|N=500|scm0,DML,500,scm0,0.0,1728546204,-0.006883815419842033,0.013599433611399758,-0.03353870529818556,0.019771074458501493
DML|N=500|scm0,DML,500,scm0,0.0,1495280064,-0.018404835040678084,0.017020696546471807,-0.051765400271762824,0.01495573019040666
DML|N=500|scm0,DML,500,scm0,0.0,578002482,0.021049971672640146,0.01524913961008876,-0.008838341963133826,0.050938285308414114
DML|N=500|scm0,DML,500,scm0,0.0,868443694,0.02586174004297578,0.013404919037166027,-0.0004119012698696328,0.05213538135582119
DML|N=500|scm0,DML,500,scm0,0.0,1692179511,0.004625396504872406,0.013839415242239389,-0.022499857369916797,0.031750650379661606
DML|N=500|scm0,DML,500,scm0,0.0,1086042660,-0.006356065114854265,0.014179937028225049,-0.03414874169017536,0.02143661146046683
DML|N=500|scm0,DML,500,scm0,0.0,1408223802,0.005068161364465143,0.014240350494973863,-0.02284292560568363,0.032979248334613916
DML|N=500|scm0,DML,500,scm0,0.0,562817347,0.014422743081722901,0.014436474700503998,-0.013872747331264933,0.04271823349471074
DML|N=500|scm0,DML,500,scm0,0.0,1561469899,-0.003974944041086056,0.017244404872406784,-0.03777397759100336,0.029824089508831243
DML|N=500|scm0,DML,500,scm0,0.0,1433634663,0.004521666370586188,0.0151128345369093,-0.02509948932175604,0.034142822062928416
DML|N=500|scm0,DML,500,scm0,0.0,696936141,0.03670401728817979,0.013831262332323397,0.009594743116825934,0.06381329145953366
DML|N=500|scm0,DML,500,scm0,0.0,1042729357,0.03183830533137329,0.014969424091585276,0.0024982341118661468,0.06117837655088043
DML|N=500|scm0,DML,500,scm0,0.0,374482716,0.01576254032728888,0.014605355208580424,-0.012863955881528753,0.04438903653610651
DML|N=500|scm0,DML,500,scm0,0.0,1978687093,0.0011115588972035713,0.01581840469365765,-0.029892514302365423,0.03211563209677257
DML|N=500|scm0,DML,500,scm0,0.0,1179385536,0.027403470078211728,0.01360235128999733,0.0007428615498169602,0.054064078606606496
DML|N=500|scm0,DML,500,scm0,0.0,1525556073,0.023010344332152575,0.015079471227047218,-0.006545419272859971,0.052566107937165124
DML|N=500|scm0,DML,500,scm0,0.0,572656088,0.002861585797615456,0.014478881183974899,-0.025517021322975345,0.031240192918206258
DML|N=500|scm0,DML,500,scm0,0.0,1204438628,-0.0017190828934182624,0.013303718206763628,-0.027794370578674975,0.02435620479183845
DML|N=500|scm0,DML,500,scm0,0.0,1812523835,0.013635102339330463,0.015633408592767684,-0.017006378502494198,0.04427658318115513
DML|N=500|scm0,DML,500,scm0,0.0,413429580,-0.0027219911950569532,0.015021354575159886,-0.03216384616237033,0.026719863772256422
DML|N=500|scm0,DML,500,scm0,0.0,139402182,0.026698916836002024,0.016013179635982398,-0.004686915250523473,0.05808474892252752
DML|N=500|scm0,DML,500,scm0,0.0,43489554,0.0018710725057807587,0.013934848268418915,-0.025441230100320313,0.02918337511188183
DML|N=500|scm0,DML,500,scm0,0.0,898508933,-0.009835681768453165,0.01602561088102142,-0.04124587909525515,0.021574515558348824
DML|N=500|scm0,DML,500,scm0,0.0,1247315324,0.002612229346017753,0.014058009487648878,-0.024941469249774046,0.030165927941809553
DML|N=500|scm0,DML,500,scm0,0.0,2100054983,0.004852930575361899,0.014367752487068779,-0.023307864299292907,0.033013725450016705
DML|N=500|scm0,DML,500,scm0,0.0,1767605237,-0.006610769652569419,0.016620073209543736,-0.039186113143275136,0.0259645738381363
DML|N=500|scm0,DML,500,scm0,0.0,1132719126,0.0252288428344688,0.01579271589411284,-0.005724880317992367,0.05618256598692997
DML|N=500|scm0,DML,500,scm0,0.0,951564548,0.025249321732508614,0.014351419047803304,-0.002879459601185859,0.05337810306620309
DML|N=500|scm0,DML,500,scm0,0.0,216714387,0.022033264696987926,0.014921748842033724,-0.0072133630333981735,0.051279892427374026
DML|N=500|scm0,DML,500,scm0,0.0,525240089,0.024232700215771712,0.014906431491183605,-0.004983905506948154,0.05344930593849158
DML|N=500|scm0,DML,500,scm0,0.0,996927476,0.007802768717916437,0.014070761418608317,-0.019775923662555865,0.03538146109838874
DML|N=500|scm0,DML,500,scm0,0.0,1825358054,0.011553580095860258,0.014315790479559913,-0.01650536924407717,0.03961252943579768
DML|N=500|scm0,DML,500,scm0,0.0,1763542873,0.02580140269235771,0.014442567394566808,-0.0025060294009932316,0.05410883478570865
DML|N=500|scm0,DML,500,scm0,0.0,1761825144,-0.007627114373460788,0.016980533897984207,-0.04090896081350983,0.025654732066588255
DML|N=500|scm0,DML,500,scm0,0.0,1041970505,0.03588153688917061,0.014226723129535605,0.007997159555280825,0.0637659142230604
DML|N=500|scm0,DML,500,scm0,0.0,519644665,0.014053808879052282,0.015267381649292502,-0.015870259153561023,0.04397787691166558
DML|N=500|scm0,DML,500,scm0,0.0,2071004005,0.010240470004002291,0.013804780139598084,-0.016816899069609953,0.03729783907761453
DML|N=500|scm0,DML,500,scm0,0.0,1934522859,0.010411333392654654,0.01870903292655654,-0.026258371143396166,0.04708103792870547
DML|N=500|scm0,DML,500,scm0,0.0,82777113,0.02158074825304334,0.0150298739352617,-0.007877804660069591,0.05103930116615627
DML|N=500|scm0,DML,500,scm0,0.0,1285852270,-0.00723894445937064,0.01467386344821852,-0.03599971681787894,0.02152182789913766
DML|N=500|scm0,DML,500,scm0,0.0,1210613118,0.016656732832526368,0.01505322494952775,-0.012847588068548021,0.04616105373360076
DML|N=500|scm0,DML,500,scm0,0.0,316731601,-0.0009206204360429898,0.013478119811193016,-0.0273377352659813,0.02549649439389532
DML|N=500|scm0,DML,500,scm0,0.0,2059729289,-0.025049899177037028,0.014635568618757547,-0.05373561366980182,0.003635815315727764
DML|N=500|scm0,DML,500,scm0,0.0,1862085422,0.0014132507812867027,0.015216705295956862,-0.028411491598788745,0.03123799316136215
DML|N=500|scm0,DML,500,scm0,0.0,1155487271,-0.021420520792475514,0.01381197099097568,-0.04849198393478785,0.005650942349836818
DML|N=500|scm0,DML,500,scm0,0.0,2003593997,0.039727268331757354,0.015459320013533532,0.00942700110523163,0.07002753555828307
DML|N=500|scm0,DML,500,scm0,0.0,726799462,-0.0002602007100230074,0.016212579259305623,-0.03203685605826203,0.031516454638216014
DML|N=500|scm0,DML,500,scm0,0.0,201996195,0.02146409528332713,0.013458409993929365,-0.004914388304774423,0.04784257887142869
DML|N=500|scm0,DML,500,scm0,0.0,1708483631,-0.003342670757026364,0.01466919411707715,-0.03209429122649758,0.02540894971244485
DML|N=500|scm0,DML,500,scm0,0.0,346089190,0.009407382014393388,0.014121390599836026,-0.01827054356128522,0.037085307590071996
DML|N=500|scm0,DML,500,scm0,0.0,1121566545,-0.005040562088738509,0.015039158734962905,-0.0345173132092658,0.024436189031788784
DML|N=500|scm0,DML,500,scm0,0.0,1401562685,0.04389417316489168,0.01488394524779416,0.014721640479215127,0.07306670585056824
DML|N=500|scm0,DML,500,scm0,0.0,625797387,0.0019090399078809002,0.01467579978368165,-0.026855527668135135,0.030673607483896935
DML|N=500|scm0,DML,500,scm0,0.0,1582668469,0.005944809076255021,0.015651148463327897,-0.024731441911867654,0.036621060064377695
DML|N=500|scm0,DML,500,scm0,0.0,325967548,0.010722165691534882,0.014516826241056966,-0.01773081374093677,0.039175145124006536
DML|N=500|scm0,DML,500,scm0,0.0,2141505593,0.03707119784112485,0.014400048037207826,0.008847103688197511,0.0652952919940522
DML|N=500|scm0,DML,500,scm0,0.0,1750201838,0.035643310353172586,0.01297598475565306,0.010210380232092586,0.061076240474252586
DML|N=500|scm0,DML,500,scm0,0.0,858638658,0.010369909755189654,0.015761691661298354,-0.02052300590095512,0.04126282541133443
DML|N=500|scm0,DML,500,scm0,0.0,50020490,-0.012201292471856775,0.014834787691328469,-0.041277476346860575,0.016874891403147022
DML|N=500|scm0,DML,500,scm0,0.0,853075829,-0.010935832725870372,0.013884112851153941,-0.038148693914132094,0.016277028462391353
DML|N=500|scm0,DML,500,scm0,0.0,131252484,0.03464449137748581,0.014981329887780058,0.0052810847974369,0.06400789795753473
DML|N=500|scm0,DML,500,scm0,0.0,16365010,0.017426548569762713,0.014654975479720568,-0.0112972033704896,0.04615030051001502
DML|N=500|scm0,DML,500,scm0,0.0,1044071870,-0.0017354552553737808,0.014043451554844688,-0.02926062030286937,0.025789709792121807
